"93 ""CORONEL DORREGO""";"93 ""COMUNA 15"""
"94 ""CORONEL FELIPE VARELA""";"94 ""COMUNA 2"""
"95 ""CORONEL PRINGLES""";"95 ""COMUNA 3"""
"96 ""CORONEL ROSALES""";"96 ""COMUNA 4"""
"97 ""CORONEL SUAREZ""";"97 ""COMUNA 5"""
"98 ""CORPEN AIKE""";"98 ""COMUNA 6"""
"99 ""CRUZ ALTA""";"99 ""COMUNA 7"""
"100 ""CRUZ DEL EJE""";"100 ""COMUNA 8"""
"101 ""CURACO""";"101 ""COMUNA 9"""
"102 ""CURUZU CUATIA""";"102 ""CONCEPCION"""
"103 ""CUSHAMEN""";"103 ""CONCEPCION DE LA SIERRA"""
"104 ""DAIREAUX""";"104 ""CONCORDIA"""
"105 ""DESEADO""";"105 ""CONESA"""
"106 ""DIAMANTE""";"106 ""CONFLUENCIA"""
"107 ""DOLORES""";"107 ""CONHELO"""
"108 ""DR. MANUEL BELGRANO""";"108 ""CONSTITUCION"""
"109 ""DUPUY""";"109 ""COPO"""
"110 ""EL ALTO""";"110 ""CORONEL DORREGO"""
"111 ""EL CARMEN""";"111 ""CORONEL PRINGLES"""
"112 ""EL CUY""";"112 ""CORONEL ROSALES"""
"113 ""EL DORADO""";"113 ""CORONEL SUAREZ"""
"114 ""EMPEDRADO""";"114 ""CORPEN AIKE"""
"115 ""ENSENADA""";"115 ""CRUZ ALTA"""
"116 ""ESCALANTE""";"116 ""CRUZ DEL EJE"""
"117 ""ESCOBAR""";"117 ""CURACO"""
"118 ""ESQUINA""";"118 ""CURUZU CUATIA"""
"119 ""ESTEBAN ECHEVERRIA""";"119 ""CUSHAMEN"""
"120 ""EXALTACION DE LA CRUZ""";"120 ""DAIREAUX"""
"121 ""EZEIZA""";"121 ""DESEADO"""
"122 ""FAMAILLA""";"122 ""DIAMANTE"""
"123 ""FAMATINA""";"123 ""DOLORES"""
"124 ""FEDERACION""";"124 ""EL ALTO"""
"125 ""FEDERAL""";"125 ""EL CARMEN"""
"126 ""FELICIANO""";"126 ""EL CUY"""
"127 ""FIGUEROA""";"127 ""ELDORADO"""
"128 ""FLORENCIO VARELA""";"128 ""EMPEDRADO"""
"129 ""FLORENTINO AMEGHINO""";"129 ""ENSENADA"""
"130 ""FORMOSA""";"130 ""ESCALANTE"""
"131 ""FRAY JUSTO SANTA MARIA DE ORO""";"131 ""ESCOBAR"""
"132 ""FRAY MAMERTO ESQUIU""";"132 ""ESQUINA"""
"133 ""FUTALEUFU""";"133 ""ESTEBAN ECHEVERRIA"""
"134 ""GAIMAN""";"134 ""EXALTACION DE LA CRUZ"""
"135 ""GARAY""";"135 ""EZEIZA"""
"136 ""GASTRE""";"136 ""F. AMEGHINO"""
"137 ""GENERAL ALVARADO""";"137 ""FAMAILLA"""
"138 ""GENERAL ALVEAR""";"138 ""FAMATINA"""
"139 ""GENERAL ARENALES""";"139 ""FEDERACION"""
"140 ""GENERAL BELGRANO""";"140 ""FEDERAL"""
"141 ""GENERAL DONOVAN""";"141 ""FELICIANO"""
"142 ""GENERAL GUEMES""";"142 ""FELIPE VARELA"""
"143 ""GENERAL GÜEMES""";"143 ""FIGUEROA"""
"144 ""GENERAL GUIDO""";"144 ""FLORENCIO VARELA"""
"145 ""GENERAL LA MADRID""";"145 ""FORMOSA"""
"146 ""GENERAL LAMADRID""";"146 ""FRAY J. STA. MARIA DE ORO"""
"147 ""GENERAL LAVALLE""";"147 ""FRAY MAMERTO ESQUIU"""
"148 ""GENERAL LOPEZ""";"148 ""FUTALEUFU"""
"149 ""GENERAL MADARIAGA""";"149 ""GAIMAN"""
"150 ""GENERAL MANUEL BELGRANO""";"150 ""GARAY"""
"151 ""GENERAL OBLIGADO""";"151 ""GASTRE"""
"152 ""GENERAL OCAMPO""";"152 ""GENERAL ALVARADO"""
"153 ""GENERAL PAZ""";"153 ""GENERAL ALVEAR"""
"154 ""GENERAL PINTO""";"154 ""GENERAL ARENALES"""
"155 ""GENERAL PUEYRREDON""";"155 ""GENERAL BELGRANO"""
"156 ""GENERAL ROCA""";"156 ""GENERAL DONOVAN"""
"157 ""GENERAL RODRIGUEZ""";"157 ""GENERAL GšEMES"""
"158 ""GENERAL SAN MARTIN""";"158 ""GENERAL GUIDO"""
"159 ""GENERAL VIAMONTE""";"159 ""GENERAL LAMADRID"""
"160 ""GENERAL VILLEGAS""";"160 ""GENERAL LAVALLE"""
"161 ""GOBERNADOR DUPUY""";"161 ""GENERAL LOPEZ"""
"162 ""GODOY CRUZ""";"162 ""GENERAL MADARIAGA"""
"163 ""GOYA""";"163 ""GENERAL OBLIGADO"""
"164 ""GRANEROS""";"164 ""GENERAL ORTIZ DE OCAMPO"""
"165 ""GUACHIPAS""";"165 ""GENERAL PAZ"""
"166 ""GUALEGUAY""";"166 ""GENERAL PINTO"""
"167 ""GUALEGUAYCHU""";"167 ""GENERAL PUEYRREDON"""
"168 ""GUAMINI""";"168 ""GENERAL ROCA"""
"169 ""GUARANI""";"169 ""GENERAL RODRIGUEZ"""
"170 ""GUASAYAN""";"170 ""GENERAL SAN MARTIN"""
"171 ""GUATRACHE""";"171 ""GENERAL VIAMONTE"""
"172 ""GUAYMALLEN""";"172 ""GENERAL VILLEGAS"""
"173 ""GÜEMES""";"173 ""GOBERNADOR DUPUY"""
"174 ""GÜER AIKE""";"174 ""GODOY CRUZ"""
"175 ""HIPOLITO YRIGOYEN""";"175 ""GONZALES CHAVES"""
"176 ""HUCAL""";"176 ""GOYA"""
"177 ""HUILICHES""";"177 ""GRAL. MANUEL BELGRANO"""
"178 ""HUMAHUACA""";"178 ""GRANEROS"""
"179 ""HURLINGHAM""";"179 ""GšER AIKE"""
"180 ""IGLESIA""";"180 ""GUACHIPAS"""
"181 ""IGUAZU""";"181 ""GUALEGUAY"""
"182 ""INDEPENDENCIA""";"182 ""GUALEGUAYCHU"""
"183 ""IRIONDO""";"183 ""GUAMINI"""
"184 ""IRUYA""";"184 ""GUARANI"""
"185 ""ISCHILIN""";"185 ""GUASAYAN"""
"186 ""ISLAS DEL IBICUY""";"186 ""GUATRACHE"""
"187 ""ITATI""";"187 ""GUAYMALLEN"""
"188 ""ITUZAINGO""";"188 ""HIPOLITO YRIGOYEN"""
"189 ""JACHAL""";"189 ""HUCAL"""
"190 ""JIMENEZ""";"190 ""HUILICHES"""
"191 ""JOSE C PAZ""";"191 ""HUMAHUACA"""
"192 ""JUAN FACUNDO QUIROGA""";"192 ""HURLINGHAM"""
"193 ""JUAREZ""";"193 ""IGLESIA"""
"194 ""JUAREZ CELMAN""";"194 ""IGUAZU"""
"195 ""JUNIN""";"195 ""INDEPENDENCIA"""
"196 ""LA BANDA""";"196 ""IRIONDO"""
"197 ""LA CALDERA""";"197 ""IRUYA"""
"198 ""LA CANDELARIA""";"198 ""ISCHILIN"""
"199 ""LA CAPITAL""";"199 ""ISLAS DEL IBICUY"""
"200 ""LA CAPITAL SECC.""";"200 ""ISLAS MALVINAS"""
"201 ""LA COCHA""";"201 ""ITATI"""
"202 ""LA COSTA""";"202 ""ITUZAINGO"""
"203 ""LA MATANZA""";"203 ""J. C. PAZ"""
"204 ""LA PAZ""";"204 ""JACHAL"""
"205 ""LA PLATA""";"205 ""JIMENEZ"""
"206 ""LA POMA""";"206 ""JUAN F. IBARRA"""
"207 ""LA VIÑA""";"207 ""JUAN FACUNDO QUIROGA"""
"208 ""LACAR""";"208 ""JUAREZ"""
"209 ""LAGO ARGENTINO""";"209 ""JUAREZ CELMAN"""
"210 ""LAGO BUENOS AIRES""";"210 ""JUNIN"""
"211 ""LAISHI""";"211 ""LA CALDERA"""
"212 ""LANGUIÑEO""";"212 ""LA CANDELARIA"""
"213 ""LANUS""";"213 ""LA CAPITAL"""
"214 ""LAPRIDA""";"214 ""LA COCHA"""
"215 ""LAS COLONIAS""";"215 ""LA COSTA"""
"216 ""LAS FLORES""";"216 ""LA PAZ"""
"217 ""LAS HERAS""";"217 ""LA PLATA"""
"218 ""LAVALLE""";"218 ""LA POMA"""
"219 ""LEALES""";"219 ""LA VI¾A"""
"220 ""LEANDRO N ALEM""";"220 ""LACAR"""
"221 ""LEDESMA""";"221 ""LAGO ARGENTINO"""
"222 ""LIBERTAD""";"222 ""LAGO BUENOS AIRES"""
"223 ""LIBERTADOR GENERAL SAN MARTIN""";"223 ""LAISHI"""
"224 ""LIHUEL CALEL""";"224 ""LANGUI¾EO"""
"225 ""LIMAY MAHUIDA""";"225 ""LANUS"""
"226 ""LINCOLN""";"226 ""LAPRIDA"""
"227 ""LOBERIA""";"227 ""LAS COLONIAS"""
"228 ""LOBOS""";"228 ""LAS FLORES"""
"229 ""LOMAS DE ZAMORA""";"229 ""LAS HERAS"""
"230 ""LONCOPUE""";"230 ""LAVALLE"""
"231 ""LORETO""";"231 ""LEALES"""
"232 ""LOS ANDES""";"232 ""LEANDRO N. ALEM"""
"233 ""LOS LAGOS""";"233 ""LEDESMA"""
"234 ""LOVENTUE""";"234 ""LIB. GRAL. SAN MARTIN"""
"235 ""LUJAN""";"235 ""LIBERTAD"""
"236 ""LULES""";"236 ""LIBERTADOR GENERAL SAN MARTIN"""
"237 ""MAGALLANES""";"237 ""LIHUEL CALEL"""
"238 ""MAGDALENA""";"238 ""LIMAY MAHUIDA"""
"239 ""MAIPU""";"239 ""LINCOLN"""
"240 ""MALARGUE""";"240 ""LOBERIA"""
"241 ""MALVINAS ARGENTINAS""";"241 ""LOBOS"""
"242 ""MAR CHIQUITA""";"242 ""LOMAS DE ZAMORA"""
"243 ""MARACO""";"243 ""LONCOPUE"""
"244 ""MARCOS JUAREZ""";"244 ""LORETO"""
"245 ""MARCOS PAZ""";"245 ""LOS ANDES"""
"246 ""MARTIRES""";"246 ""LOS LAGOS"""
"247 ""MATACOS""";"247 ""LOVENTUE"""
"248 ""MATARA""";"248 ""LUJAN"""
"249 ""MAYOR J LUIS FONTANA""";"249 ""LULES"""
"250 ""MBURUCUYA""";"250 ""MAGALLANES"""
"251 ""MERCEDES""";"251 ""MAGDALENA"""
"252 ""MERLO""";"252 ""MAIPU"""
"253 ""METAN""";"253 ""MALARGUE"""
"254 ""MINAS""";"254 ""MALVINAS ARGENTINAS"""
"255 ""MITRE""";"255 ""MAR CHIQUITA"""
"256 ""MOLINOS""";"256 ""MARACO"""
"257 ""MONTE""";"257 ""MARCOS JUAREZ"""
"258 ""MONTE CASEROS""";"258 ""MARCOS PAZ"""
"259 ""MONTE HERMOSO""";"259 ""MARTIRES"""
"260 ""MONTECARLO""";"260 ""MATACOS"""
"261 ""MONTEROS""";"261 ""MATANZA"""
"262 ""MORENO""";"262 ""MAYOR L. J. FONTANA"""
"263 ""MORON""";"263 ""MBURUCUYA"""
"264 ""NAVARRO""";"264 ""MERCEDES"""
