;year;idprov;indra;provincia;departamento;preselec;sh_prez;sh_gob;sh_prez_fpv;sh_prez_pro;dn_fpv;dn_fpv2;sn_fpv;sn_fpv2;encpdipLAA;encpdipGOL;encpprezLAA;encpprezGOL;encpsenLAA;encpsenGOL;votosincumbent;sharevotos;deltashareconultimaelecc;votossegundo;deltavotossegundo;sharesegundo;deltasharesegundoconultimaelecc;nvotos;core;votosgob;;devengado;deltas;universitarios;desocupacion;nbi;devengadoln;votosincumbentln;votossegundoln;votosgobln;electionyr;recibiofondos;votosincumbentcore;devengadocore;recibio;ingretotal;gasttotal;resultfinanprev;vimbalance;atn;totatn;shareatn;popul;sharepop;popnbi;percnbi;ggp;percapggp;puemploy;pubemp;partypresgov;alliedpres;corecoal;overrepres;govpower;govalpoweravg;fedpublicworks;minplana;minplanb;minplanapc;minplanbpc;sharepresseats;swing;ownrevenue;transferdep;populdensity;provsharedep;urban;personalpc;pamparegion;ldinterior;atnpc;enpv;enps;polarization;volatility;enppv;enpps;presidsupport;fedpublicworkspc;govinstpower;desocupacionln;nbiln;universitariosln;prez_date;dn_date;sn_date;gob_date;dias_prez_dn;dias_prez_sn;dias_prez_gob;dias_dn_gob;dias_sn_gob;conc_prez_dn;conc_prez_sn;conc_prez_gob;conc_gob_dn;conc_gob_sn;PREZ_FPV_pre;PREZ_FPV_svs;icg_gov
11;2003;2;2011;Buenos Aires;Berazategui;1;0.327457088;0.405546755;0.327457088;;NA;0.49230922;NA;NA;3.714041406;;5.658357067;;NA;;48237;0.313373774;-0.121427506;21134;27103;0.137297958;NA;153928;1;62425;;0;0;0.028999999;0.031;0.0145;NA;10.78388119;9.958638191;11.04172134;1;0;48237;0;0.449880719;12200000;12400000;-185794.5;1984843;8050;90999;8.846300125;14410581;0.381572187;2161064;15.80000019;133000000;9220.719727;30;29.62266638;0.5;0.5;0.5;0.722249985;2.070300102;1.746706009;122329;203252;198189;0.0141044;0.013753;0.077821001;0.069799997;50.06649017;39.68778992;46.8528595;NA;0.959999979;0.406975806;1;0;0.0005586;4.610000134;3.910000086;14;47.59999847;4.829999924;2.869999886;0.449999988;0.0084888;2.076922894;-3.473767996;-4.233606815;-3.540459395;27/04/03;14/09/03;;14/09/03;-140;;-140;0;;0;;0;1;;NA;0.437431327;3.278571429
12;2003;2;2012;Buenos Aires;Berisso;1;0.26471068;0.390036196;0.26471068;;NA;0.515573397;NA;NA;3.348919579;;6.021296039;;NA;;12818;0.256252378;-0.19791159;8474;4344;0.169408843;NA;50021;1;19510;;0;0;0.042800002;0.026000001;0.0133;NA;9.458605766;9.044757843;9.878682137;1;0;12818;0;0.472286254;12200000;12400000;-185794.5;1984843;8050;90999;8.846300125;14410581;0.381572187;2161064;15.80000019;133000000;9220.719727;30;29.62266638;0.5;0.5;0.5;0.722249985;2.070300102;1.746706009;122329;203252;198189;0.0141044;0.013753;0.077821001;0.069799997;50.06649017;39.68778992;46.8528595;NA;0.959999979;0.406975806;1;0;0.0005586;4.610000134;3.910000086;14;47.59999847;4.829999924;2.869999886;0.449999988;0.0084888;2.076922894;-3.64965868;-4.319991112;-3.151217222;27/04/03;14/09/03;;14/09/03;-140;;-140;0;;0;;0;1;;NA;0.353151733;3.278571429
13;2003;2;2013;Buenos Aires;Bolivar;1;0.227513228;0.406803101;0.227513228;;NA;0.459034926;NA;NA;2.780866441;;5.786851487;;NA;;4610;0.219932258;-0.098910257;3864;746;0.184342355;NA;20961;1;8527;;0;0;0.028000001;0.014;0.0068;NA;8.435982704;8.259458542;9.050992966;1;0;4610;0;0.241141766;12200000;12400000;-185794.5;1984843;8050;90999;8.846300125;14410581;0.381572187;2161064;15.80000019;133000000;9220.719727;30;29.62266638;0.5;0.5;0.5;0.722249985;2.070300102;1.746706009;122329;203252;198189;0.0141044;0.013753;0.077821001;0.069799997;50.06649017;39.68778992;46.8528595;NA;0.959999979;0.406975806;1;0;0.0005586;4.610000134;3.910000086;14;47.59999847;4.829999924;2.869999886;0.449999988;0.0084888;2.076922894;-4.268697739;-4.990832806;-3.575550795;27/04/03;14/09/03;;14/09/03;-140;;-140;0;;0;;0;1;;NA;0.304230391;3.278571429
14;2003;2;2014;Buenos Aires;Bragado;1;0.210475501;0.341550261;0.210475501;;NA;0.393957346;NA;NA;3.58591111;;5.855857137;;NA;;5176;0.202527687;-0.10739135;5300;-124;0.20737958;NA;25557;1;8729;;0;0;0.029300001;0.0173;0.006;NA;8.551787376;8.575462341;9.07440567;1;0;5176;0;0.29659164;12200000;12400000;-185794.5;1984843;8050;90999;8.846300125;14410581;0.381572187;2161064;15.80000019;133000000;9220.719727;30;29.62266638;0.5;0.5;0.5;0.722249985;2.070300102;1.746706009;122329;203252;198189;0.0141044;0.013753;0.077821001;0.069799997;50.06649017;39.68778992;46.8528595;NA;0.959999979;0.406975806;1;0;0.0005586;4.610000134;3.910000086;14;47.59999847;4.829999924;2.869999886;0.449999988;0.0084888;2.076922894;-4.057048798;-5.115995884;-3.530167818;27/04/03;14/09/03;;14/09/03;-140;;-140;0;;0;;0;1;;NA;0.330637517;3.278571429
15;2003;2;2015;Buenos Aires;Brandsen;1;0.232624972;0.377701849;0.232624972;;NA;0.405701754;NA;NA;3.468314534;;6.340065554;;NA;;3040;0.225804061;-0.147695273;2359;681;0.175220981;NA;13463;1;5085;;2026;0;0.0365;0.016799999;0.011;7.613818646;8.019613266;7.765993118;8.534049988;1;1;3040;2026;0.318392515;12200000;12400000;-185794.5;1984843;8050;90999;8.846300125;14410581;0.381572187;2161064;15.80000019;133000000;9220.719727;30;29.62266638;0.5;0.5;0.5;0.722249985;2.070300102;1.746706009;122329;203252;198189;0.0141044;0.013753;0.077821001;0.069799997;50.06649017;39.68778992;46.8528595;NA;0.959999979;0.406975806;1;0;0.0005586;4.610000134;3.910000086;14;47.59999847;4.829999924;2.869999886;0.449999988;0.0084888;2.076922894;-4.08637619;-4.509860039;-3.310442925;27/04/03;14/09/03;;14/09/03;-140;;-140;0;;0;;0;1;;NA;0.335859779;3.278571429
16;2003;2;2016;Buenos Aires;Campana;1;0.154906451;0.394123793;0.154906451;;NA;0.435860365;NA;NA;4.246145105;;7.929298126;;NA;;6674;0.148215592;-0.215974703;6814;-140;0.151324704;NA;45029;1;17747;;6078;0;0.0495;0.023499999;0.0118;8.712430954;8.80597496;8.826734543;9.783971787;1;1;6674;6078;0.431480438;12200000;12400000;-185794.5;1984843;8050;90999;8.846300125;14410581;0.381572187;2161064;15.80000019;133000000;9220.719727;30;29.62266638;0.5;0.5;0.5;0.722249985;2.070300102;1.746706009;122329;203252;198189;0.0141044;0.013753;0.077821001;0.069799997;50.06649017;39.68778992;46.8528595;NA;0.959999979;0.406975806;1;0;0.0005586;4.610000134;3.910000086;14;47.59999847;4.829999924;2.869999886;0.449999988;0.0084888;2.076922894;-3.750754833;-4.439655781;-3.005782604;27/04/03;14/09/03;;14/09/03;-140;;-140;0;;0;;0;1;;NA;0.323048247;3.278571429
17;2003;2;2017;Buenos Aires;Cañuelas;1;0.249414261;0.381420612;0.249414261;;NA;0.438218768;NA;NA;3.150159003;;6.341503586;;NA;;5582;0.240738347;-0.149223223;3872;1710;0.166990131;NA;23187;1;8844;;8441;0;0.033799999;0.0208;0.0123;9.040856361;8.62730217;8.261526108;9.08749485;1;1;5582;8441;0.360778421;12200000;12400000;-185794.5;1984843;8050;90999;8.846300125;14410581;0.381572187;2161064;15.80000019;133000000;9220.719727;30;29.62266638;0.5;0.5;0.5;0.722249985;2.070300102;1.746706009;122329;203252;198189;0.0141044;0.013753;0.077821001;0.069799997;50.06649017;39.68778992;46.8528595;NA;0.959999979;0.406975806;1;0;0.0005586;4.610000134;3.910000086;14;47.59999847;4.829999924;2.869999886;0.449999988;0.0084888;2.076922894;-3.872802258;-4.398156166;-3.387294531;27/04/03;14/09/03;;14/09/03;-140;;-140;0;;0;;0;1;;NA;0.399314645;3.278571429
18;2003;2;2018;Buenos Aires;Capitan Sarmiento;1;0.227547269;0.317721039;0.227547269;;NA;0.448609432;NA;NA;3.652412216;;6.255005701;;NA;;1646;0.211215198;-0.154859662;1420;226;0.182214811;NA;7793;1;2476;;0;0;0.0273;0.019300001;0.0068;NA;7.406103611;7.258412361;7.814399719;1;0;1646;0;0.332729757;12200000;12400000;-185794.5;1984843;8050;90999;8.846300125;14410581;0.381572187;2161064;15.80000019;133000000;9220.719727;30;29.62266638;0.5;0.5;0.5;0.722249985;2.070300102;1.746706009;122329;203252;198189;0.0141044;0.013753;0.077821001;0.069799997;50.06649017;39.68778992;46.8528595;NA;0.959999979;0.406975806;1;0;0.0005586;4.610000134;3.910000086;14;47.59999847;4.829999924;2.869999886;0.449999988;0.0084888;2.076922894;-3.947650194;-4.990832806;-3.600868464;27/04/03;14/09/03;;14/09/03;-140;;-140;0;;0;;0;1;;NA;0.338565494;3.278571429
19;2003;2;2019;Buenos Aires;Carlos Casares;1;0.189878353;0.419171661;0.189878353;;NA;0.455443797;NA;NA;3.068538429;;6.613526914;;NA;;2442;0.184901953;-0.160311684;2168;274;0.164155379;NA;13207;1;5536;;0;0;0.0275;0.0145;0.007;NA;7.800572872;7.681560516;8.619027138;1;0;2442;0;0.249263078;12200000;12400000;-185794.5;1984843;8050;90999;8.846300125;14410581;0.381572187;2161064;15.80000019;133000000;9220.719727;30;29.62266638;0.5;0.5;0.5;0.722249985;2.070300102;1.746706009;122329;203252;198189;0.0141044;0.013753;0.077821001;0.069799997;50.06649017;39.68778992;46.8528595;NA;0.959999979;0.406975806;1;0;0.0005586;4.610000134;3.910000086;14;47.59999847;4.829999924;2.869999886;0.449999988;0.0084888;2.076922894;-4.233606815;-4.961844921;-3.593569279;27/04/03;14/09/03;;14/09/03;-140;;-140;0;;0;;0;1;;NA;0.284896693;3.278571429
20;2003;2;2020;Buenos Aires;Carlos Tejedor;1;0.168862108;0.448394656;0.168862108;;NA;0.469816688;NA;NA;2.979127884;;6.943898451;;NA;;1155;0.15915668;-0.204300597;1429;-274;0.196913332;NA;7257;1;3254;;0;0;0.020500001;0.012;0.0075;NA;7.051855564;7.264729977;8.087640762;1;0;1155;0;0.197291121;12200000;12400000;-185794.5;1984843;8050;90999;8.846300125;14410581;0.381572187;2161064;15.80000019;133000000;9220.719727;30;29.62266638;0.5;0.5;0.5;0.722249985;2.070300102;1.746706009;122329;203252;198189;0.0141044;0.013753;0.077821001;0.069799997;50.06649017;39.68778992;46.8528595;NA;0.959999979;0.406975806;1;0;0.0005586;4.610000134;3.910000086;14;47.59999847;4.829999924;2.869999886;0.449999988;0.0084888;2.076922894;-4.422848702;-4.892852306;-3.887330294;27/04/03;14/09/03;;14/09/03;-140;;-140;0;;0;;0;1;;NA;0.296157438;3.278571429
