categoria;nombre_categoria;agrupacion;nombre_agrupacion;lista;nombre_lista
001002119000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido La Costa;135;JUNTOS POR EL CAMBIO;001002119000000.135.A.001002119000000.135;Delmonte, Flavia
001002119000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido La Costa;137;CONSENSO FEDERAL;001002119000000.137.A.001002119000000.137;Gonzalez Carlos
001002120000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido de Monte Hermoso;02-503;FRENTE DE TODOS;001002120000000.02-503.A.001002120000000.02-503;Dichiara Enrique Alejandro
001002120000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido de Monte Hermoso;135;JUNTOS POR EL CAMBIO;001002120000000.135.A.001002120000000.135;Dupuy, Victorio Dario
001002121000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 25 de Mayo;02-503;FRENTE DE TODOS;001002121000000.02-503.A.001002121000000.02-503;Ralinqueo Hernan
001002121000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 25 de Mayo;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;001002121000000.133.A.001002121000000.133;Gonzalez Rodriguez, Juan Manuel
001002121000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 25 de Mayo;135;JUNTOS POR EL CAMBIO;001002121000000.135.A.001002121000000.135;Torre, Martin Hernan
001002121000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 25 de Mayo;137;CONSENSO FEDERAL;001002121000000.137.A.001002121000000.137;Sambuceti  Juan Carlos
001002122000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez;02-1911;FRENTE NOS;001002122000000.02-1911.A.001002122000000.02-1911;Bresciani, Arnaldo Dario
001002122000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez;02-503;FRENTE DE TODOS;001002122000000.02-503.A.001002122000000.02-503;Lorenzo Beccaria
001002122000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;001002122000000.133.A.001002122000000.133;Vidal Guido
001002122000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez;135;JUNTOS POR EL CAMBIO;001002122000000.135.A.001002122000000.135;Macri, Jorge
001002122000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez;137;CONSENSO FEDERAL;001002122000000.137.A.001002122000000.137;Tello Marta Susana
001002123000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villa Gesell;02-503;FRENTE DE TODOS;001002123000000.02-503.A.001002123000000.02-503;Barrera Gustavo Norberto
001002123000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villa Gesell;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;001002123000000.133.A.001002123000000.133;Paluci Arias, Giuliana
001002123000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villa Gesell;135;JUNTOS POR EL CAMBIO;001002123000000.135.A.001002123000000.135;Baldo, Hector Luis
001002123000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villa Gesell;137;CONSENSO FEDERAL;001002123000000.137.A.001002123000000.137;Cisneros Miguel Angel
001002124000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villarino;02-503;FRENTE DE TODOS;001002124000000.02-503.A.001002124000000.02-503;Cobello Patricia Anabela
001002124000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villarino;02-697;ACCION POR VILLARINO;001002124000000.02-697.A.001002124000000.02-697;Bevilacqua Carlos Jose Ceferino
001002124000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villarino;135;JUNTOS POR EL CAMBIO;001002124000000.135.A.001002124000000.135;Chiarellotto, Mauro Damian
001002125000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate;02-1911;FRENTE NOS;001002125000000.02-1911.A.001002125000000.02-1911;Parente, Fernando Damian
001002125000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate;02-503;FRENTE DE TODOS;001002125000000.02-503.A.001002125000000.02-503;Caffaro Osvaldo Raul
001002125000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;001002125000000.133.A.001002125000000.133;Bonuccelli Sergio Marcelo
001002125000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate;135;JUNTOS POR EL CAMBIO;001002125000000.135.A.001002125000000.135;Guelvenzu, Julian
001002125000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate;137;CONSENSO FEDERAL;001002125000000.137.A.001002125000000.137;Blanco Jorge Hector
001002126000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres Lomas;02-503;FRENTE DE TODOS;001002126000000.02-503.A.001002126000000.02-503;Alvarez Roberto Oscar
001002126000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres Lomas;135;JUNTOS POR EL CAMBIO;001002126000000.135.A.001002126000000.135;Spinolo Sayago, Luciano Omar
001002127000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ameghino;02-503;FRENTE DE TODOS;001002127000000.02-503.A.001002127000000.02-503;Garcia, Patricio Antonio
001002127000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ameghino;135;JUNTOS POR EL CAMBIO;001002127000000.135.A.001002127000000.135;Tellechea Calixto
001002128000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron;02-503;FRENTE DE TODOS;001002128000000.02-503.A.001002128000000.02-503;Cantero Blanca Haydee
001002128000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron;02-850;AGRUPACIÓN COMPROMISO VECINAL;001002128000000.02-850.A.001002128000000.02-850;Rengifo Victor Eduardo
001002128000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron;02-877;BASE CIUDADANA;001002128000000.02-877.A.001002128000000.02-877;Tofanelli Manuel Alejandro
001002128000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;001002128000000.133.A.001002128000000.133;Gomez Marcelo Ariel
001002128000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron;135;JUNTOS POR EL CAMBIO;001002128000000.135.A.001002128000000.135;Giana, Guido
001002128000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron;137;CONSENSO FEDERAL;001002128000000.137.A.001002128000000.137;Müller Malco Dario
001002129000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz;02-1911;FRENTE NOS;001002129000000.02-1911.A.001002129000000.02-1911;Bosch, Diego Nicolas
001002129000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz;02-503;FRENTE DE TODOS;001002129000000.02-503.A.001002129000000.02-503;Ishii Mario Alberto
001002129000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;001002129000000.133.A.001002129000000.133;Becerra Sandra Marcela
001002129000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz;135;JUNTOS POR EL CAMBIO;001002129000000.135.A.001002129000000.135;Pazos, Ezequiel
001002129000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz;137;CONSENSO FEDERAL;001002129000000.137.A.001002129000000.137;Nuñez Andrea Fernanda
001002130000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas;02-1911;FRENTE NOS;001002130000000.02-1911.A.001002130000000.02-1911;Barrios, Florentin
001002130000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas;02-503;FRENTE DE TODOS;001002130000000.02-503.A.001002130000000.02-503;*Leo* Nardini
