year;province;pbg_manufactura;pbg_total_pm;pbg_total_pp;ic;ic_on;ic_op;ic_tributarios;ic_tributarios_op;ic_tributarios_op_iibb;ic_tributarios_op_inmob;ic_tributarios_op_sellos;ic_tributarios_op_autom;ic_tributarios_op_otros;ic_tributarios_on;ic_transferencias;ic_otros;ik;ik_op;ik_on;ik_dif;i_on;it;gc;gc_consumo;gc_consumo_personal;gc_rentas;gc_transferencias;gc_transferencias_sprivado;gc_transferencias_spublico;gc_transferencias_sexterno;gk;gk_ird;gk_transferencias;gk_transferencias_sprivado;gk_transferencias_spublico;gk_transferencias_sexterno;gk_if;gt;personal (planta ocupada);salario_promedio (gasto medio);population;apn_gconsumo;apn_grentasprop;apn_prestss;apn_impdir;apn_transf;apn_corrientes (confirmar si es el total);apn_IRD;apn_transfK;apn_invfciera;apn_capital (confirmar si es el total);gn_admgub;gn_defensa;gn_servsoc;gn_servecon;gn_deuda;gn_total
1992;Corrientes;;;;;;;;;36,38;10,07;8,88;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;41937;705,93;817455;;;;;;;;;;;;;;;;
1992;Entre Rios;;;;;;;;;61,88;43,34;26,23;23,85;2,94;;;;;;;;;;;;;;;;;;;;;;;;;;42077;841,13;1041854;;;;;;;;;;;;;;;;
1992;Formosa;;;;;;;;;15,88;1,65;3,56;0,00;1,46;;;;;;;;;;;;;;;;;;;;;;;;;;31151;700,89;412398;;;;;;;;;;;;;;;;
1992;Jujuy;;;;;;;;;30,12;6,68;6,15;0,00;1,22;;;;;;;;;;;;;;;;;;;;;;;;;;26222;704,95;525908;;;;;;;;;;;;;;;;
1992;La Pampa;;;;;;;;;32,11;12,77;15,66;8,64;0,86;;;;;;;;;;;;;;;;;;;;;;;;;;14453;830,51;267224;;;;;;;;;;;;;;;;
1992;La Rioja;;;;;;;;;12,18;1,90;3,25;1,03;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;21178;812,16;228300;;;;;;;;;;;;;;;;
1992;Mendoza;1601,22;7035,03;;;;;;;171,83;31,21;45,54;31,04;7,44;;;;;;;;;;;;;;;;;;;;;;;;;;41645;885,41;1447988;;;;;;;;;;;;;;;;
1992;Misiones;76,79;2545,47;;;;;;;49,03;11,74;10,35;1,31;0,86;;;;;;;;;;;;;;;;;;;;;;;;;;32950;694,90;816558;;;;;;;;;;;;;;;;
1992;Neuquen;;;;;;;;;57,76;8,46;15,83;0,00;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;27108;1005,60;407186;;;;;;;;;;;;;;;;
1992;Rio Negro;;;;;;;;;67,51;10,77;18,01;11,65;0,46;;;;;;;;;;;;;;;;;;;;;;;;;;29061;815,42;522164;;;;;;;;;;;;;;;;
