provincia,year,iibb,inmuebles,sellos,automotor,otros
Salta,2014,2742,47,262,0,159
San Juan,2014,1337,110,128,206,269
San Luis,2014,1618,118,223,116,212
Santa Cruz,2014,2879,12,151,0,2
Santa Fe,2014,12561,1449,1605,102,39
Sgo. Del Estero,2014,1044,150,157,57,123
Tucumán,2014,4581,335,432,271,324
Tierra Del Fuego,2014,1433,4,110,0,336
C.A.B.A.,2014,40721,5725,4262,3262,471
Buenos Aires,2015,87372,6972,9330,8339,6765
Catamarca,2015,1085,36,111,103,0
Córdoba,2015,18225,1595,2372,813,0
Corrientes,2015,2331,119,317,0,0
Chaco,2015,2798,39,373,0,482
Chubut,2015,4224,0,482,0,86
Entre Ríos,2015,4469,1433,456,722,629
Formosa,2015,1025,21,169,0,37
Jujuy,2015,1541,98,234,0,0
La Pampa,2015,1673,273,274,209,12
La Rioja,2015,733,17,86,89,0
Mendoza,2015,9772,499,1282,816,28
Misiones,2015,5581,101,373,46,21
Neuquén,2015,6543,304,944,0,0
Río Negro,2015,3046,210,401,436,171
Salta,2015,3714,52,388,0,207
San Juan,2015,1679,129,192,265,345
San Luis,2015,2089,154,280,170,267
Santa Cruz,2015,3369,9,209,0,2
Santa Fe,2015,16346,1940,2307,149,50
Sgo. Del Estero,2015,1450,166,221,86,158
Tucumán,2015,6105,404,607,359,363
Tierra Del Fuego,2015,1920,3,143,0,442
C.A.B.A.,2015,51188,7192,5628,4445,568
Buenos Aires,2016,114692,12312,12911,12333,6973
Catamarca,2016,1467,46,145,150,0
Córdoba,2016,23868,2096,3760,1161,0
Corrientes,2016,3116,154,455,0,0
Chaco,2016,4295,48,517,0,264
Chubut,2016,4781,0,568,0,87
Entre Ríos,2016,5931,1998,610,1032,829
Formosa,2016,1330,29,153,0,47
Jujuy,2016,2039,132,356,0,0
La Pampa,2016,2572,435,482,326,15
La Rioja,2016,997,19,105,118,0
Mendoza,2016,12798,665,1843,1163,30
Misiones,2016,6982,130,476,67,29
Neuquén,2016,9540,409,1098,0,0
Río Negro,2016,4262,277,512,630,233
Salta,2016,5101,66,513,0,282
San Juan,2016,2093,179,260,330,465
San Luis,2016,2791,210,346,243,340
Santa Cruz,2016,4422,4,274,0,3
Santa Fe,2016,23758,2709,3311,207,72
Sgo. Del Estero,2016,1830,292,299,136,213
Tucumán,2016,8240,579,843,538,489
Tierra Del Fuego,2016,2505,5,210,0,576
C.A.B.A.,2016,69304,10075,7800,5562,1096
Buenos Aires,2017,152212,15839,21525,19723,10623
Catamarca,2017,2009,67,245,230,0
Córdoba,2017,31713,3782,5451,1738,7
Corrientes,2017,4082,207,694,0,0
Chaco,2017,5906,59,693,0,541
Chubut,2017,6236,0,1059,0,125
Entre Ríos,2017,8580,2500,1137,1312,1017
Formosa,2017,1811,47,311,0,63
Jujuy,2017,2961,182,541,0,0
La Pampa,2017,3518,589,586,511,161
La Rioja,2017,1267,28,169,150,0
Mendoza,2017,16662,918,2949,1721,86
Misiones,2017,8936,142,703,100,41
Neuquén,2017,11501,582,1343,0,0
Río Negro,2017,5466,435,693,909,323
Salta,2017,6843,68,794,0,376
San Juan,2017,2827,252,435,375,647
San Luis,2017,3787,302,491,345,540
Santa Cruz,2017,5661,2,443,0,4
Santa Fe,2017,31111,3595,4375,265,106
Sgo. Del Estero,2017,2646,307,420,174,385
Tucumán,2017,10638,782,1338,819,733
Tierra Del Fuego,2017,3163,4,272,0,713
C.A.B.A.,2017,93442,13547,12764,7501,1712
Buenos Aires,2018,191054,28748,24907,22296,9456
Catamarca,2018,2630,71,280,244,0
Córdoba,2018,41883,5461,6793,2214,0
Corrientes,2018,5316,305,857,0,65
Chaco,2018,6859,68,798,0,1151
Chubut,2018,9198,0,1358,0,317
Entre Ríos,2018,11870,2927,1370,1618,1068
Formosa,2018,2369,51,384,0,76
Jujuy,2018,3958,238,661,0,0
La Pampa,2018,4907,924,744,560,79
La Rioja,2018,1806,32,248,182,0
Mendoza,2018,21788,1303,3455,2192,86
Misiones,2018,11947,196,950,116,50
Neuquén,2018,20707,728,2151,0,0
Río Negro,2018,8135,640,865,1149,493
Salta,2018,11418,77,1208,0,788
San Juan,2018,3969,283,466,526,763
San Luis,2018,5009,442,651,543,643
Santa Cruz,2018,7753,4,518,0,4
Santa Fe,2018,41466,4845,5954,294,120
Sgo. Del Estero,2018,3434,480,565,256,333
Tucumán,2018,15425,797,1557,892,809
Tierra Del Fuego,2018,4366,4,328,0,1312
C.A.B.A.,2018,129257,17411,16850,8546,2431
Buenos Aires,2019,261505,36665,30116,28999,9777
Catamarca,2019,3865,109,380,334,1
Córdoba,2019,54659,8190,8577,3309,0
Corrientes,2019,7262,414,984,0,100
Chaco,2019,8504,69,996,0,1500
Chubut,2019,13194,0,1827,0,450
Entre Ríos,2019,16742,5042,1604,2605,1248
Formosa,2019,3154,53,458,0,82
Jujuy,2019,5305,326,738,0,0
La Pampa,2019,7518,1226,847,699,98
La Rioja,2019,2308,49,296,281,0
Mendoza,2019,30524,1658,3895,2935,168
Misiones,2019,17372,283,1039,160,79
Neuquén,2019,33059,982,3080,0,0
Río Negro,2019,11699,826,923,1605,693
Salta,2019,15683,170,1468,0,891
San Juan,2019,5757,434,686,804,1181
San Luis,2019,7037,488,724,718,963
Santa Cruz,2019,10709,3,795,0,4
Santa Fe,2019,59552,6890,6415,410,159
Sgo. Del Estero,2019,5335,607,728,349,125
Tucumán,2019,21220,1138,1872,1359,1104
Tierra Del Fuego,2019,5142,203,382,0,2022
C.A.B.A.,2019,178113,21763,18850,12805,3944
Buenos Aires,2020,338693,46872,37042,37277,6782
Catamarca,2020,4849,139,400,444,0
Córdoba,2020,84579,12861,10894,4811,0
Corrientes,2020,9926,480,1280,0,32
Chaco,2020,11569,118,1279,0,2088
Chubut,2020,15121,0,2172,0,538
Entre Ríos,2020,22792,5697,2306,3402,1541
Formosa,2020,4232,61,502,0,94
Jujuy,2020,6345,436,712,0,0
La Pampa,2020,10189,2101,881,846,206
La Rioja,2020,2845,48,350,308,0
Mendoza,2020,36962,2192,4555,4231,262
Misiones,2020,31465,469,1461,233,106
Neuquén,2020,34567,1167,2221,0,0
Río Negro,2020,13419,1072,953,2200,790
Salta,2020,20732,214,1887,0,513
San Juan,2020,7409,549,733,1058,1387
San Luis,2020,9330,538,766,919,1382
Santa Cruz,2020,11729,2,792,0,4
Santa Fe,2020,84233,10303,7641,619,206
Sgo. Del Estero,2020,7143,727,1037,492,107
Tucumán,2020,29959,1307,2277,1721,1460
Tierra Del Fuego,2020,5493,4,448,0,3140
C.A.B.A.,2020,248068,25910,20645,16775,3449
Buenos Aires,2021,578584,72762,67046,58387,15900
Catamarca,2021,8721,204,1104,628,0
Córdoba,2021,140068,16435,20780,7149,0
Corrientes,2021,16998,800,2533,0,77
Chaco,2021,20112,187,2716,0,4157
Chubut,2021,26672,24,3836,0,947
Entre Ríos,2021,40503,9055,4068,5578,3010
Formosa,2021,8382,116,970,0,193
Jujuy,2021,13295,615,1616,0,0
La Pampa,2021,18229,2596,1883,1619,394
La Rioja,2021,6049,85,674,570,0
Mendoza,2021,60138,3157,8444,6377,343
Misiones,2021,60279,798,2864,390,190
Neuquén,2021,62298,2070,3864,0,0
Río Negro,2021,21674,1812,1857,3370,1298
Salta,2021,36949,310,3834,0,540
San Juan,2021,12654,768,1313,1810,2443
San Luis,2021,14863,899,1968,1691,2004
Santa Cruz,2021,20569,4,1640,0,5
Santa Fe,2021,134702,13711,14125,494,155
Sgo. Del Estero,2021,12891,1457,1961,881,160
Tucumán,2021,49533,2075,3942,3203,2280
Tierra Del Fuego,2021,10211,4,871,0,4493
C.A.B.A.,2021,406259,41451,49796,30223,5262
Buenos Aires,2022,1058286,119295,116198,89726,27071
Catamarca,2022,19069,362,1552,1149,0
Córdoba,2022,246115,23516,33928,10455,0
Corrientes,2022,30406,528,4092,0,66
Chaco,2022,37971,151,4817,0,6708
Chubut,2022,46396,42,6474,0,1449
Entre Ríos,2022,69908,12179,7322,8635,1238
Formosa,2022,16689,139,1955,0,322
Jujuy,2022,24664,941,2483,0,0
La Pampa,2022,34183,4175,4900,2735,257
La Rioja,2022,11410,160,1164,1022,0
Mendoza,2022,112612,4754,13344,9545,456
Misiones,2022,113213,1455,4734,769,282
Neuquén,2022,114190,3411,7799,0,0
Río Negro,2022,39147,2699,3395,5261,2273
Salta,2022,68704,354,6568,0,408
San Juan,2022,22507,1218,2127,3647,3947
San Luis,2022,28795,981,2768,2221,3815
Santa Cruz,2022,36570,3,3194,0,7
Santa Fe,2022,244187,16566,23251,601,501
Sgo. Del Estero,2022,22637,1972,3621,1523,247
Tucumán,2022,85418,2769,6665,5421,3736
Tierra Del Fuego,2022,18234,5,1509,0,9479
C.A.B.A.,2022,811252,64379,88450,47269,9971
Buenos Aires,2023,2422201,189895,250397,132468,48367
Catamarca,2023,45958,695,4325,2079,0
Córdoba,2023,570671,35134,63685,18628,0
Corrientes,2023,71975,1578,9547,0,118
Chaco,2023,85089,154,9808,0,14208
Chubut,2023,111419,6,15307,0,3232
Entre Ríos,2023,161030,18803,15935,15969,887
Formosa,2023,37883,163,3972,0,429
Jujuy,2023,60750,1450,5660,0,0
La Pampa,2023,80572,6001,6279,4662,346
La Rioja,2023,26101,264,2391,2020,72
Mendoza,2023,284336,9441,26842,20103,999
Misiones,2023,251481,2570,10401,1270,591
Neuquén,2023,292507,6196,17539,0,0
Río Negro,2023,95431,4504,7028,9015,5180
Salta,2023,173924,403,14796,0,75
San Juan,2023,56237,2208,6682,6707,6053
San Luis,2023,66299,1429,5943,4273,14142
Santa Cruz,2023,84360,2,7132,0,15
Santa Fe,2023,559684,22127,44222,990,1134
Sgo. Del Estero,2023,49784,3386,6186,2760,477
Tucumán,2023,196649,4702,14263,10810,7696
Tierra Del Fuego,2023,41012,5,3812,0,25868
C.A.B.A.,2023,2268403,123739,139118,86749,20896
Buenos Aires,2024,7470340,828899,790819,461112,150782
Catamarca,2024,147012,2374,6150,5646,43
Córdoba,2024,1702141,79789,200568,60554,0
Corrientes,2024,215946,4840,29609,0,302
Chaco,2024,225748,281,29163,0,36749
Chubut,2024,338095,134,49446,0,10462
Entre Ríos,2024,473591,52094,49433,44533,254
Formosa,2024,93007,605,10264,0,164
Jujuy,2024,167685,4045,17914,0,0
La Pampa,2024,0,0,0,0,0
La Rioja,2024,82114,1146,10427,6127,0
Mendoza,2024,799112,27291,84222,72745,4519
Misiones,2024,735495,6263,29654,4058,1830
Neuquén,2024,1073279,20073,58404,0,0
Río Negro,2024,318219,11211,25927,29235,17010
Salta,2024,530763,494,50339,0,331
San Juan,2024,158735,6023,15654,18048,14856
San Luis,2024,186137,5655,17963,13017,2958
Santa Cruz,2024,256838,9,23747,0,90
Santa Fe,2024,1667206,75847,130752,3642,3503
Sgo. Del Estero,2024,0,0,0,0,0
Tucumán,2024,595535,12185,56395,32959,23695
Tierra Del Fuego,2024,106817,4,11626,0,90577
C.A.B.A.,2024,5795665,369869,460843,238137,58767
