"Marca temporal","Sergio Massa","Patricia Bullrich","Horacio Rodriguez Larreta","Javier Milei","Juan Grabois","¿Cuál es su intención de voto para las PASO?","Ante el eventual escenario que Horacio Rodríguez Larreta gane la interna contra Patricia Bullrich, ¿Cuál sería su intención de voto en las elecciones generales?","Ante el eventual escenario que Patricia Bullrich gane la interna contra Horacio Rodriguez Larreta, ¿Cuál sería su intención de voto en las elecciones generales?","Ante un eventual enfrentamiento entre Sergio Massa y Horacio Rodríguez Larreta, ¿A quién votaría?","Ante un eventual enfrentamiento entre Sergio Massa y Patricia Bullrich, ¿A quién votaría?","Ante un eventual enfrentamiento entre Sergio Massa y Javier Milei, ¿A quién votaría?","Ante un eventual enfrentamiento entre Horacio Rodríguez Larreta y Javier Milei, ¿A quién votaría?","Ante un eventual enfrentamiento entre Patricia Bullrich y Javier Milei, ¿A quién votaría?"
"2023/08/09 4:18:22 p. m. GMT-3","3","1","2","5","4","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Blanco","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:18:28 p. m. GMT-3","2","5","5","4","5","Nulo","Nulo","Nulo","Sergio Massa","Sergio Massa","Javier Milei","Javier Milei","Javier Milei"
"2023/08/09 4:18:35 p. m. GMT-3","4","1","3","2","5","No voy a votar","Javier Milei","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Javier Milei","Javier Milei"
"2023/08/09 4:18:40 p. m. GMT-3","3","4","2","5","1","Juan Grabois","Horacio Rodriguez Larreta","Sergio Massa","Horacio Rodriguez Larreta","Sergio Massa","Sergio Massa","Horacio Rodriguez Larreta","Blanco"
"2023/08/09 4:18:42 p. m. GMT-3","5","1","3","2","4","Patricia Bullrich","Javier Milei","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Javier Milei","Patricia Bullrich"
"2023/08/09 4:18:57 p. m. GMT-3","4","2","3","1","5","Patricia Bullrich","Javier Milei","Patricia Bullrich","Blanco","Patricia Bullrich","Javier Milei","Javier Milei","Patricia Bullrich"
"2023/08/09 4:18:57 p. m. GMT-3","4","1","3","2","5","Patricia Bullrich","Javier Milei","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Javier Milei","Patricia Bullrich"
"2023/08/09 4:19:03 p. m. GMT-3","4","2","3","1","5","Javier Milei","Javier Milei","Javier Milei","Blanco","Patricia Bullrich","Javier Milei","Javier Milei","Javier Milei"
"2023/08/09 4:19:03 p. m. GMT-3","5","2","3","1","5","Javier Milei","Javier Milei","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Javier Milei","Javier Milei"
"2023/08/09 4:19:06 p. m. GMT-3","5","2","1","3","4","Horacio Rodriguez Larreta","Horacio Rodriguez Larreta","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Blanco","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:19:13 p. m. GMT-3","3","2","4","1","5","Javier Milei","Javier Milei","Patricia Bullrich","Sergio Massa","Sergio Massa","Javier Milei","Javier Milei","Javier Milei"
"2023/08/09 4:19:27 p. m. GMT-3","5","1","2","3","4","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Blanco","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:19:32 p. m. GMT-3","5","4","3","5","5","Horacio Rodriguez Larreta","Horacio Rodriguez Larreta","Nulo","Horacio Rodriguez Larreta","Patricia Bullrich","No iría a votar","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:19:43 p. m. GMT-3","3","1","4","5","2","No voy a votar","No voy a votar","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Javier Milei","Patricia Bullrich"
"2023/08/09 4:20:00 p. m. GMT-3","1","2","4","3","5","Nulo","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:20:10 p. m. GMT-3","2","4","2","2","1","Patricia Bullrich","Nulo","Patricia Bullrich","Sergio Massa","Patricia Bullrich","Sergio Massa","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:20:13 p. m. GMT-3","5","3","4","1","4","Javier Milei","Javier Milei","Javier Milei","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Javier Milei","Javier Milei"
"2023/08/09 4:20:38 p. m. GMT-3","3","2","1","5","4","Blanco","Horacio Rodriguez Larreta","Sergio Massa","Horacio Rodriguez Larreta","Sergio Massa","Sergio Massa","Horacio Rodriguez Larreta","Patricia Bullrich"
"2023/08/09 4:21:52 p. m. GMT-3","5","3","4","4","5","No voy a votar","Javier Milei","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Javier Milei","Patricia Bullrich"
"2023/08/09 4:26:59 p. m. GMT-3","2","3","1","4","5","Horacio Rodriguez Larreta","Horacio Rodriguez Larreta","Sergio Massa","Horacio Rodriguez Larreta","Sergio Massa","Sergio Massa","Horacio Rodriguez Larreta","Blanco"
"2023/08/09 4:29:29 p. m. GMT-3","1","4","3","5","2","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Sergio Massa","Horacio Rodriguez Larreta","Blanco"
"2023/08/09 4:36:39 p. m. GMT-3","5","2","2","3","5","Patricia Bullrich","Javier Milei","Patricia Bullrich","Horacio Rodriguez Larreta","Patricia Bullrich","Javier Milei","Javier Milei","Patricia Bullrich"
